customer_id,customer_label,rm_id,region,sector,size_band,legal_form,onboarding_date,relationship_tenure_months,annual_turnover_try,employees,exporter_flag,importer_flag,digital_engagement_score,contact_permission,preferred_channel,data_class,pd_12m,internal_rating,days_past_due,stage,kyc_review_due_date,aml_alert_priority,beneficial_owner_complete,financials_fresh_flag,data_class_risk,inflow_6m_try,outflow_6m_try,pos_volume_6m_try,payroll_6m_try,fx_inflow_6m_try,fx_outflow_6m_try,trade_flow_6m_try,average_deposit_balance_try,average_loan_balance_try,digital_transaction_count_6m,products_held,bank_exposure_try,relationship_income_try,products_held_list,last_interaction_date,interactions_12m,days_since_interaction,relationship_depth_score,wallet_share_proxy,kyc_overdue_days
SME000001,Synthetic SME 000001,RM006,Aegean,Hospitality,MICRO,SOLE_PROPRIETOR,2025-12-20,7,16751268.890000,8,False,True,60.530000,True,BRANCH,DERIVED_ANALYTICS,0.059808,R04,0,1,2026-10-20,NONE,True,True,CONTROLLED_SYNTHETIC,9284281.920000,8708167.810000,3941797.450000,1773115.080000,0.000000,2517110.840000,1605907.080000,340037.770000,1154560.723333,624,3,5815747.400000,35725.430000,FX_RISK_MANAGEMENT|TERM_DEPOSIT|WORKING_CAPITAL_LOAN,2026-05-01,1,111,30.890000,0.991950,0
SME000002,Synthetic SME 000002,RM021,Marmara,Transportation,MICRO,LIMITED,2015-02-27,137,8580348.830000,6,True,False,97.400000,True,BRANCH,DERIVED_ANALYTICS,0.029229,R03,5,1,2027-09-22,NONE,True,True,CONTROLLED_SYNTHETIC,4227449.080000,3776926.190000,189979.020000,1291991.440000,1077214.300000,0.000000,556495.240000,164864.488333,314869.553333,869,1,1841624.520000,49421.160000,FX_RISK_MANAGEMENT,2026-04-24,2,118,32.510000,0.613237,0
SME000003,Synthetic SME 000003,RM036,Marmara,Transportation,MEDIUM,LIMITED,2026-02-16,6,256608557.800000,246,True,True,78.940000,True,RM_CALL,DERIVED_ANALYTICS,0.027952,R03,0,1,2027-04-28,NONE,True,True,CONTROLLED_SYNTHETIC,114070989.540000,95854391.660000,5587722.480000,57869469.930000,24678456.470000,25129699.530000,33221419.010000,4563358.048333,12862067.343333,711,6,451592767.200000,17208346.930000,CASH_MANAGEMENT|FX_RISK_MANAGEMENT|POS_MERCHANT_ACQUIRING|TERM_DEPOSIT|TRADE_FINANCE|WORKING_CAPITAL_LOAN,2026-08-12,5,8,68.430000,1.000000,0
SME000004,Synthetic SME 000004,RM038,Aegean,Wholesale Trade,SMALL,JOINT_STOCK,2019-03-13,89,105865617.200000,38,False,False,75.410000,True,RM_CALL,DERIVED_ANALYTICS,0.039862,R03,0,1,2026-02-28,NONE,True,True,CONTROLLED_SYNTHETIC,57305371.810000,52017947.770000,2385541.650000,8368647.720000,0.000000,0.000000,0.000000,2033248.185000,5899354.763333,816,3,116665136.330000,4431078.720000,CASH_MANAGEMENT|PAYROLL_SERVICES|TERM_DEPOSIT,2026-07-19,6,32,67.500000,1.000000,173
SME000005,Synthetic SME 000005,RM035,Central Anatolia,Professional Services,MICRO,LIMITED,2021-03-28,64,3217984.450000,7,False,False,41.450000,True,SECURE_MESSAGE,DERIVED_ANALYTICS,0.037736,R03,0,1,2027-09-25,NONE,True,True,CONTROLLED_SYNTHETIC,1896382.880000,1799282.630000,98378.150000,1506019.040000,0.000000,0.000000,0.000000,54152.358333,174290.695000,384,1,2960857.080000,135258.380000,PAYROLL_SERVICES,2026-05-30,3,82,47.500000,1.000000,0
SME000006,Synthetic SME 000006,RM037,Aegean,Professional Services,SMALL,LIMITED,2018-07-13,97,20870092.920000,35,False,False,60.410000,True,BRANCH,DERIVED_ANALYTICS,0.012118,R02,0,1,2026-06-09,NONE,True,True,CONTROLLED_SYNTHETIC,10460364.370000,8960909.750000,428865.530000,7924212.060000,0.000000,0.000000,0.000000,456892.933333,1247050.968333,586,2,34110589.080000,1084553.850000,CASH_MANAGEMENT|PAYROLL_SERVICES,2026-07-31,3,20,61.000000,1.000000,72
SME000007,Synthetic SME 000007,RM009,Marmara,Professional Services,MEDIUM,LIMITED,2024-02-12,30,117590367.200000,232,False,False,54.210000,True,RM_CALL,DERIVED_ANALYTICS,0.015069,R02,0,1,2027-04-12,NONE,True,True,CONTROLLED_SYNTHETIC,71153104.440000,66462511.240000,3386446.410000,46707656.170000,0.000000,0.000000,0.000000,2014200.023333,7150339.943333,640,5,200729743.550000,6335702.810000,BUSINESS_CREDIT_CARD|CASH_MANAGEMENT|PAYROLL_SERVICES|POS_MERCHANT_ACQUIRING|TERM_DEPOSIT,2026-02-18,4,183,67.640000,1.000000,0
SME000008,Synthetic SME 000008,RM007,Central Anatolia,Manufacturing,MICRO,LIMITED,2017-08-08,108,15725937.530000,8,False,False,79.210000,True,RM_CALL,DERIVED_ANALYTICS,0.086007,R05,0,1,2026-04-03,NONE,False,True,CONTROLLED_SYNTHETIC,7454164.380000,6710682.500000,296683.440000,1738888.990000,0.000000,0.000000,0.000000,314870.833333,993660.348333,606,2,1948253.050000,19149.730000,BUSINESS_CREDIT_CARD|WORKING_CAPITAL_LOAN,2026-08-11,5,9,36.470000,0.353965,139
SME000009,Synthetic SME 000009,RM041,Marmara,Hospitality,MICRO,JOINT_STOCK,2019-12-25,79,6522618.370000,9,False,False,75.180000,True,VIDEO_MEETING,DERIVED_ANALYTICS,0.061518,R04,0,1,2027-07-27,HIGH,True,True,CONTROLLED_SYNTHETIC,3959717.690000,3641671.980000,2000607.930000,2066973.110000,0.000000,0.000000,0.000000,118197.191667,345040.908333,659,3,5637816.500000,159972.620000,BUSINESS_CREDIT_CARD|POS_MERCHANT_ACQUIRING|WORKING_CAPITAL_LOAN,2026-08-08,5,12,62.510000,1.000000,0
SME000010,Synthetic SME 000010,RM031,Black Sea,Retail Trade,SMALL,LIMITED,2019-04-16,88,18012809.660000,15,False,False,71.340000,False,RM_CALL,DERIVED_ANALYTICS,0.068423,R05,0,1,2027-06-29,NONE,True,True,CONTROLLED_SYNTHETIC,9871459.800000,8240763.310000,4341046.920000,3044559.840000,0.000000,0.000000,0.000000,385292.463333,1113388.026667,577,3,8652451.820000,294823.150000,BUSINESS_CREDIT_CARD|POS_MERCHANT_ACQUIRING|TERM_DEPOSIT,2026-01-02,1,230,52.950000,1.000000,0
SME000011,Synthetic SME 000011,RM040,Black Sea,Manufacturing,MICRO,LIMITED,2017-12-12,104,2782827.780000,8,True,False,47.430000,True,RM_CALL,DERIVED_ANALYTICS,0.039374,R03,60,2,2026-12-30,NONE,True,True,CONTROLLED_SYNTHETIC,1250590.240000,1075672.150000,67307.660000,1866950.840000,280074.490000,0.000000,159745.880000,54246.063333,115242.438333,416,1,59077.020000,2864.820000,TERM_DEPOSIT,2026-06-10,2,71,27.090000,0.060655,0
SME000012,Synthetic SME 000012,RM036,Marmara,Healthcare,SMALL,LIMITED,2020-12-02,68,82209375.530000,45,False,False,85.950000,True,RM_CALL,DERIVED_ANALYTICS,0.027311,R03,5,1,2027-07-16,NONE,True,True,CONTROLLED_SYNTHETIC,47983091.880000,44296788.150000,22442005.100000,7836366.720000,0.000000,0.000000,0.000000,1606685.450000,5040553.841667,835,2,144656488.920000,4334494.600000,CASH_MANAGEMENT|POS_MERCHANT_ACQUIRING,2026-06-05,5,76,57.190000,1.000000,0
SME000013,Synthetic SME 000013,RM008,Marmara,Technology,MICRO,LIMITED,2016-04-15,124,7801814.490000,9,False,False,87.080000,True,VIDEO_MEETING,DERIVED_ANALYTICS,0.042401,R03,0,1,2027-06-13,NONE,True,True,CONTROLLED_SYNTHETIC,3975706.600000,3379249.490000,173855.660000,1781386.960000,0.000000,0.000000,0.000000,147604.220000,518809.693333,709,1,305648.720000,12252.360000,POS_MERCHANT_ACQUIRING,2026-07-23,4,28,27.600000,0.111933,0
SME000014,Synthetic SME 000014,RM019,Aegean,Professional Services,SMALL,LIMITED,2019-12-24,79,18468178.670000,25,False,False,57.660000,True,BRANCH,DERIVED_ANALYTICS,0.008637,R02,0,1,2027-01-23,NONE,True,True,CONTROLLED_SYNTHETIC,9628396.680000,8607712.490000,337785.430000,5666334.490000,0.000000,0.000000,0.000000,337642.253333,1123941.165000,514,1,179374.620000,8283.450000,BUSINESS_CREDIT_CARD,2026-07-26,6,25,25.580000,0.027750,0
SME000015,Synthetic SME 000015,RM025,Black Sea,Hospitality,MEDIUM,JOINT_STOCK,2017-09-04,107,91271198.650000,244,False,True,70.320000,True,RM_CALL,DERIVED_ANALYTICS,0.062047,R04,0,1,2026-03-03,NONE,True,True,CONTROLLED_SYNTHETIC,55850172.010000,46510093.230000,26995822.750000,56894843.070000,0.000000,13860402.620000,7891355.700000,2260933.371667,4024067.863333,672,2,80623427.060000,1438528.330000,POS_MERCHANT_ACQUIRING|WORKING_CAPITAL_LOAN,2026-03-08,2,165,57.730000,1.000000,170
SME000016,Synthetic SME 000016,RM002,Marmara,Wholesale Trade,MICRO,LIMITED,2020-11-25,68,6772212.050000,6,False,False,57.180000,True,RM_CALL,DERIVED_ANALYTICS,0.028462,R03,0,1,2026-01-09,NONE,True,True,CONTROLLED_SYNTHETIC,3898793.220000,3640966.560000,137914.070000,1248651.290000,0.000000,0.000000,0.000000,170261.951667,371162.646667,646,3,4482266.070000,201384.150000,PAYROLL_SERVICES|TERM_DEPOSIT|WORKING_CAPITAL_LOAN,2026-08-14,4,6,54.220000,1.000000,223
SME000017,Synthetic SME 000017,RM016,Mediterranean,Manufacturing,MICRO,JOINT_STOCK,2022-08-18,48,7653108.830000,6,False,True,78.370000,True,SECURE_MESSAGE,DERIVED_ANALYTICS,0.024915,R03,0,1,2026-11-20,NONE,True,True,CONTROLLED_SYNTHETIC,4392654.830000,4042846.160000,246267.110000,1177096.250000,0.000000,1245188.030000,652146.440000,167499.311667,340956.193333,700,1,91373.970000,4775.460000,BUSINESS_CREDIT_CARD,2026-06-03,6,78,18.260000,0.034113,0
SME000018,Synthetic SME 000018,RM036,Marmara,Manufacturing,MICRO,SOLE_PROPRIETOR,2018-06-20,98,1264217.130000,3,False,False,54.010000,True,VIDEO_MEETING,DERIVED_ANALYTICS,0.054139,R04,0,1,2027-05-27,NONE,True,True,CONTROLLED_SYNTHETIC,727616.000000,601042.600000,26873.470000,648976.630000,0.000000,0.000000,0.000000,24335.478333,46301.835000,564,0,0.000000,0.000000,,2026-05-22,1,90,20.000000,0.000000,0
SME000019,Synthetic SME 000019,RM034,Aegean,Healthcare,MICRO,SOLE_PROPRIETOR,2025-09-08,11,64080238.350000,4,False,False,49.820000,True,RM_CALL,DERIVED_ANALYTICS,0.053792,R04,0,1,2026-06-03,NONE,True,True,CONTROLLED_SYNTHETIC,33128593.280000,31252057.740000,18672636.200000,730172.880000,0.000000,0.000000,0.000000,1161332.656667,4183878.981667,386,3,43087724.810000,1013458.180000,BUSINESS_CREDIT_CARD|POS_MERCHANT_ACQUIRING|WORKING_CAPITAL_LOAN,2026-07-31,5,20,40.950000,1.000000,78
SME000020,Synthetic SME 000020,RM008,Marmara,Healthcare,MICRO,JOINT_STOCK,2022-09-17,47,6049570.800000,9,False,False,55.230000,True,RM_CALL,DERIVED_ANALYTICS,0.035503,R03,30,2,2026-09-01,NONE,True,True,CONTROLLED_SYNTHETIC,3145926.920000,2792056.170000,1551918.760000,1915425.010000,0.000000,0.000000,0.000000,87500.541667,187856.411667,449,2,7186099.400000,202879.330000,PAYROLL_SERVICES|POS_MERCHANT_ACQUIRING,2026-07-31,2,20,52.190000,1.000000,0
SME000021,Synthetic SME 000021,RM021,Marmara,Hospitality,MEDIUM,JOINT_STOCK,2023-03-20,41,303111426.220000,221,True,False,35.190000,True,RM_CALL,DERIVED_ANALYTICS,0.027563,R03,30,2,2026-12-05,NONE,True,True,CONTROLLED_SYNTHETIC,162851497.380000,150200407.050000,77459389.020000,47056807.990000,34807127.310000,0.000000,17464951.100000,6518123.611667,13293565.530000,230,1,34042165.360000,251605.440000,TRADE_FINANCE,2026-04-08,2,134,19.410000,0.320883,0
SME000022,Synthetic SME 000022,RM029,Marmara,Construction,MICRO,SOLE_PROPRIETOR,2020-03-04,77,16992250.350000,4,False,False,78.450000,True,RM_CALL,DERIVED_ANALYTICS,0.050438,R04,0,1,2025-12-25,LOW,True,False,CONTROLLED_SYNTHETIC,9457164.190000,8380302.240000,488295.560000,818856.700000,0.000000,0.000000,0.000000,327966.355000,1079440.945000,717,3,15885596.850000,515339.050000,CASH_MANAGEMENT|POS_MERCHANT_ACQUIRING|TERM_DEPOSIT,2026-07-18,4,33,64.010000,1.000000,238
SME000023,Synthetic SME 000023,RM009,Marmara,Construction,SMALL,SOLE_PROPRIETOR,2019-06-02,86,21724988.330000,21,False,False,60.970000,True,VIDEO_MEETING,DERIVED_ANALYTICS,0.032388,R03,0,1,2026-03-24,NONE,True,True,CONTROLLED_SYNTHETIC,10162232.740000,7887634.940000,523348.790000,4830353.200000,0.000000,0.000000,0.000000,451177.683333,1263286.008333,520,1,16461191.680000,100751.910000,CASH_MANAGEMENT,2026-01-27,1,205,47.720000,1.000000,149
SME000024,Synthetic SME 000024,RM002,Marmara,Professional Services,MICRO,SOLE_PROPRIETOR,2020-04-27,75,11791587.800000,9,False,False,53.070000,True,VIDEO_MEETING,DERIVED_ANALYTICS,0.042866,R03,0,1,2027-03-18,NONE,True,False,CONTROLLED_SYNTHETIC,6631116.650000,6116573.960000,281868.380000,1813846.370000,0.000000,0.000000,0.000000,231578.526667,638565.395000,454,3,11988402.670000,459186.420000,CASH_MANAGEMENT|POS_MERCHANT_ACQUIRING|TERM_DEPOSIT,2026-05-14,3,98,65.360000,1.000000,0
SME000025,Synthetic SME 000025,RM036,Marmara,Healthcare,MICRO,LIMITED,2016-09-13,119,8437677.060000,4,False,False,60.940000,True,VIDEO_MEETING,DERIVED_ANALYTICS,0.025334,R03,5,1,2026-01-27,NONE,True,False,CONTROLLED_SYNTHETIC,5426885.330000,4603281.070000,3010485.460000,920450.890000,0.000000,0.000000,0.000000,205146.911667,387555.906667,513,3,11307121.440000,273234.310000,BUSINESS_CREDIT_CARD|CASH_MANAGEMENT|WORKING_CAPITAL_LOAN,2026-08-12,6,8,67.500000,1.000000,205
SME000026,Synthetic SME 000026,RM025,Black Sea,Construction,MICRO,JOINT_STOCK,2025-02-27,17,5417052.870000,4,False,False,74.570000,True,RM_CALL,DERIVED_ANALYTICS,0.050908,R04,15,1,2026-01-14,NONE,True,True,CONTROLLED_SYNTHETIC,2896313.600000,2563243.550000,190477.000000,959884.640000,0.000000,0.000000,0.000000,96027.280000,349138.761667,810,2,5653252.950000,157530.370000,CASH_MANAGEMENT|WORKING_CAPITAL_LOAN,2026-07-01,5,50,45.050000,1.000000,218
SME000027,Synthetic SME 000027,RM012,Central Anatolia,Hospitality,SMALL,LIMITED,2025-06-03,14,15342760.740000,25,False,False,28.360000,False,VIDEO_MEETING,DERIVED_ANALYTICS,0.037419,R03,0,1,2027-07-11,NONE,True,False,CONTROLLED_SYNTHETIC,8856926.420000,7594185.600000,4221665.260000,5125327.400000,0.000000,0.000000,0.000000,227333.201667,954074.393333,199,2,315929.730000,2546.160000,FX_RISK_MANAGEMENT|TERM_DEPOSIT,2026-05-17,3,95,16.910000,0.058833,0
SME000028,Synthetic SME 000028,RM040,Black Sea,Construction,SMALL,LIMITED,2023-01-13,43,50896900.170000,11,False,True,75.770000,True,RM_CALL,DERIVED_ANALYTICS,0.046380,R04,0,1,2027-03-15,NONE,True,True,CONTROLLED_SYNTHETIC,27590725.610000,23763635.660000,1600036.560000,2426767.010000,0.000000,6054820.860000,3196503.290000,957356.285000,2280953.890000,699,3,55777167.380000,2500391.600000,CASH_MANAGEMENT|FX_RISK_MANAGEMENT|TERM_DEPOSIT,2026-06-13,1,68,57.740000,1.000000,0
SME000029,Synthetic SME 000029,RM039,Eastern,Wholesale Trade,MEDIUM,LIMITED,2020-12-30,67,113956034.190000,240,False,True,73.010000,True,BRANCH,DERIVED_ANALYTICS,0.033178,R03,0,1,2026-05-05,NONE,True,True,CONTROLLED_SYNTHETIC,68498927.760000,64257671.650000,4641178.270000,61066468.620000,0.000000,14290993.330000,5370692.740000,2337666.631667,7373152.565000,747,3,256821892.780000,11166035.120000,BUSINESS_CREDIT_CARD|CASH_MANAGEMENT|PAYROLL_SERVICES,2026-08-17,6,3,63.450000,1.000000,107
SME000030,Synthetic SME 000030,RM048,Eastern,Technology,MICRO,JOINT_STOCK,2024-11-08,21,1835567.180000,6,False,False,37.340000,False,RM_CALL,DERIVED_ANALYTICS,0.060859,R04,0,1,2027-06-28,NONE,True,True,CONTROLLED_SYNTHETIC,869587.030000,786144.210000,57610.570000,1364755.940000,0.000000,0.000000,0.000000,28659.935000,117881.750000,257,1,1471599.440000,14070.630000,CASH_MANAGEMENT,2026-08-05,3,15,33.950000,1.000000,0
SME000031,Synthetic SME 000031,RM034,Aegean,Transportation,MEDIUM,LIMITED,2021-04-28,63,92965800.590000,63,False,False,70.300000,True,VIDEO_MEETING,DERIVED_ANALYTICS,0.014146,R02,0,1,2027-08-10,LOW,True,True,CONTROLLED_SYNTHETIC,56942809.060000,49048919.260000,2324675.190000,14270974.540000,0.000000,0.000000,0.000000,1847547.458333,3569515.941667,662,2,99590739.120000,4254332.110000,CASH_MANAGEMENT|POS_MERCHANT_ACQUIRING,2026-05-13,2,99,56.000000,1.000000,0
SME000032,Synthetic SME 000032,RM018,Mediterranean,Manufacturing,SMALL,LIMITED,2020-10-09,70,32218708.580000,46,True,False,60.620000,True,RM_CALL,DERIVED_ANALYTICS,0.024783,R03,0,1,2027-06-03,NONE,True,True,CONTROLLED_SYNTHETIC,17014577.050000,15178475.900000,983625.540000,11114472.790000,3920161.790000,0.000000,1970170.520000,586817.403333,919342.670000,615,2,4384442.210000,26175.060000,BUSINESS_CREDIT_CARD|WORKING_CAPITAL_LOAN,2026-05-06,1,106,33.480000,0.388811,0
SME000033,Synthetic SME 000033,RM033,Mediterranean,Wholesale Trade,MEDIUM,SOLE_PROPRIETOR,2020-05-28,74,84712909.420000,145,False,False,38.740000,False,RM_CALL,DERIVED_ANALYTICS,0.005245,R02,0,1,2026-09-12,NONE,True,True,CONTROLLED_SYNTHETIC,42476077.470000,38345644.280000,1834733.420000,33164361.090000,0.000000,0.000000,0.000000,1455932.395000,3199802.800000,409,3,18016603.520000,147712.490000,BUSINESS_CREDIT_CARD|POS_MERCHANT_ACQUIRING|WORKING_CAPITAL_LOAN,2026-05-26,4,86,43.070000,0.607652,0
SME000034,Synthetic SME 000034,RM009,Marmara,Transportation,MICRO,LIMITED,2022-12-06,44,3456300.440000,5,True,True,70.390000,True,RM_CALL,DERIVED_ANALYTICS,0.038199,R03,0,1,2027-03-10,NONE,True,True,CONTROLLED_SYNTHETIC,1932392.540000,1806746.310000,110534.920000,1145036.720000,522863.230000,487014.850000,615828.720000,76972.716667,238095.560000,807,2,5750762.120000,154312.600000,CASH_MANAGEMENT|PAYROLL_SERVICES,2025-09-27,1,327,51.480000,1.000000,0
SME000035,Synthetic SME 000035,RM015,Marmara,Construction,SMALL,LIMITED,2020-09-13,71,87531132.730000,35,False,False,64.040000,True,VIDEO_MEETING,DERIVED_ANALYTICS,0.035151,R03,0,1,2027-03-06,NONE,False,True,CONTROLLED_SYNTHETIC,48329138.050000,41380874.200000,2517130.750000,7379032.900000,0.000000,0.000000,0.000000,1750890.583333,5764601.923333,512,2,69868547.960000,546157.950000,CASH_MANAGEMENT|TRADE_FINANCE,2025-12-16,1,247,52.250000,1.000000,0
SME000036,Synthetic SME 000036,RM022,Central Anatolia,Hospitality,MICRO,JOINT_STOCK,2018-08-20,96,8442212.850000,9,False,False,29.600000,True,VIDEO_MEETING,DERIVED_ANALYTICS,0.100294,R06,0,1,2026-06-09,NONE,True,True,CONTROLLED_SYNTHETIC,4435081.660000,4077484.510000,2133623.210000,2029585.330000,0.000000,0.000000,0.000000,117732.665000,440452.463333,276,3,5175443.980000,86679.850000,PAYROLL_SERVICES|TERM_DEPOSIT|WORKING_CAPITAL_LOAN,2026-04-19,3,123,56.670000,1.000000,72
SME000037,Synthetic SME 000037,RM017,Aegean,Construction,MICRO,SOLE_PROPRIETOR,2016-04-14,124,15480521.230000,4,False,False,58.910000,True,RM_CALL,DERIVED_ANALYTICS,0.041960,R03,0,1,2026-07-30,NONE,True,True,CONTROLLED_SYNTHETIC,7695470.990000,6909216.030000,345951.480000,895189.500000,0.000000,0.000000,0.000000,244690.840000,594061.635000,542,2,3088610.210000,128912.770000,BUSINESS_CREDIT_CARD|WORKING_CAPITAL_LOAN,2026-06-15,3,66,38.590000,0.570045,21
SME000038,Synthetic SME 000038,RM006,Aegean,Healthcare,SMALL,LIMITED,2024-07-27,24,33237283.260000,49,False,True,69.920000,True,RM_CALL,DERIVED_ANALYTICS,0.023891,R03,0,1,2025-12-15,NONE,True,True,CONTROLLED_SYNTHETIC,16142081.510000,14115309.950000,9021050.930000,9869904.200000,0.000000,2644375.250000,1135606.750000,545053.486667,1463179.796667,603,2,19356535.090000,152235.970000,PAYROLL_SERVICES|TERM_DEPOSIT,2026-07-03,5,48,35.020000,1.000000,248
