feature,coefficient,absolute_coefficient,direction,data_class
num__need_signal,0.788997,0.788997,POSITIVE,DERIVED_ANALYTICS
cat__size_band_MICRO,-0.315293,0.315293,NEGATIVE,DERIVED_ANALYTICS
cat__size_band_SMALL,-0.258627,0.258627,NEGATIVE,DERIVED_ANALYTICS
num__digital_engagement_score,0.184077,0.184077,POSITIVE,DERIVED_ANALYTICS
num__relationship_tenure_months,0.167310,0.167310,POSITIVE,DERIVED_ANALYTICS
cat__product_code_TERM_DEPOSIT,-0.160672,0.160672,NEGATIVE,DERIVED_ANALYTICS
cat__product_code_CASH_MANAGEMENT,-0.140271,0.140271,NEGATIVE,DERIVED_ANALYTICS
num__treatment_flag,0.138257,0.138257,POSITIVE,DERIVED_ANALYTICS
cat__sector_Hospitality,-0.132500,0.132500,NEGATIVE,DERIVED_ANALYTICS
cat__region_Black Sea,-0.129540,0.129540,NEGATIVE,DERIVED_ANALYTICS
cat__sector_Retail Trade,-0.129360,0.129360,NEGATIVE,DERIVED_ANALYTICS
cat__region_Aegean,-0.122753,0.122753,NEGATIVE,DERIVED_ANALYTICS
cat__product_code_BUSINESS_CREDIT_CARD,-0.100977,0.100977,NEGATIVE,DERIVED_ANALYTICS
cat__sector_Wholesale Trade,-0.098725,0.098725,NEGATIVE,DERIVED_ANALYTICS
cat__region_Marmara,-0.092091,0.092091,NEGATIVE,DERIVED_ANALYTICS
cat__region_Mediterranean,-0.087171,0.087171,NEGATIVE,DERIVED_ANALYTICS
cat__sector_Manufacturing,-0.085069,0.085069,NEGATIVE,DERIVED_ANALYTICS
cat__product_code_WORKING_CAPITAL_LOAN,0.080846,0.080846,POSITIVE,DERIVED_ANALYTICS
cat__size_band_MEDIUM,0.075362,0.075362,POSITIVE,DERIVED_ANALYTICS
num__employees,-0.066852,0.066852,NEGATIVE,DERIVED_ANALYTICS
cat__product_code_FX_RISK_MANAGEMENT,-0.066675,0.066675,NEGATIVE,DERIVED_ANALYTICS
cat__product_code_TRADE_FINANCE,-0.065302,0.065302,NEGATIVE,DERIVED_ANALYTICS
cat__product_code_PAYROLL_SERVICES,-0.060820,0.060820,NEGATIVE,DERIVED_ANALYTICS
cat__sector_Construction,-0.056305,0.056305,NEGATIVE,DERIVED_ANALYTICS
cat__sector_Healthcare,0.049507,0.049507,POSITIVE,DERIVED_ANALYTICS
cat__sector_Agriculture,-0.047799,0.047799,NEGATIVE,DERIVED_ANALYTICS
cat__sector_Technology,0.037436,0.037436,POSITIVE,DERIVED_ANALYTICS
num__pd_12m,-0.037344,0.037344,NEGATIVE,DERIVED_ANALYTICS
cat__region_Eastern,-0.035567,0.035567,NEGATIVE,DERIVED_ANALYTICS
cat__region_Central Anatolia,-0.031435,0.031435,NEGATIVE,DERIVED_ANALYTICS
cat__sector_Professional Services,-0.023367,0.023367,NEGATIVE,DERIVED_ANALYTICS
num__exporter_flag,-0.016361,0.016361,NEGATIVE,DERIVED_ANALYTICS
num__importer_flag,-0.015360,0.015360,NEGATIVE,DERIVED_ANALYTICS
cat__product_code_POS_MERCHANT_ACQUIRING,0.015314,0.015314,POSITIVE,DERIVED_ANALYTICS
num__days_past_due,0.013146,0.013146,POSITIVE,DERIVED_ANALYTICS
cat__sector_Transportation,-0.012377,0.012377,NEGATIVE,DERIVED_ANALYTICS
num__annual_turnover_try,-0.008063,0.008063,NEGATIVE,DERIVED_ANALYTICS
