candidate_id,customer_id,rm_id,product_code,need_signal,relationship_gap,wallet_share_proxy,digital_engagement_score,relationship_tenure_months,annual_turnover_try,employees,pd_12m,days_past_due,kyc_overdue_days,aml_alert_priority,beneficial_owner_complete,financials_fresh_flag,contact_permission,exporter_flag,importer_flag,size_band,sector,region,inflow_6m_try,outflow_6m_try,pos_volume_6m_try,payroll_6m_try,fx_inflow_6m_try,fx_outflow_6m_try,trade_flow_6m_try,average_deposit_balance_try,average_loan_balance_try,days_since_interaction,data_class,treatment_flag,propensity_probability,predicted_contact_uplift,reason_1,reason_2,reason_3,estimated_product_notional_try,gross_income_if_activated_try,funding_cost_if_activated_try,expected_loss_if_activated_try,allocated_capital_try,capital_charge_if_activated_try,servicing_cost_if_activated_try,risk_adjusted_profit_if_activated_try,raroc_if_activated,expected_incremental_profit_try,profitability_percentile,suppression_reason,eligible_flag,opportunity_score,policy_threshold_pass,recommendation_status,human_review_required,conversation_prompt,product_label,customer_rank_within_rm,monthly_contact_capacity,capacity_allocated_flag,work_status,task_id,task_sla_days,final_decision_owner,automated_sale_flag
OPP0008760,SME000002,RM021,CASH_MANAGEMENT,0.548501,0.875000,0.613237,97.400000,137,8580348.830000,6,0.029229,5,0,NONE,True,True,True,True,False,MICRO,Transportation,Marmara,4227449.080000,3776926.190000,189979.020000,1291991.440000,1077214.300000,0.000000,556495.240000,164864.488333,314869.553333,118,DERIVED_ANALYTICS,1,0.443919,0.159044,ESTABLISHED_RELATIONSHIP,CROSS_BORDER_ACTIVITY,HIGH_DIGITAL_ENGAGEMENT,7553852.380000,83092.380000,22661.560000,0.000000,18129.250000,3263.260000,2033.080000,55134.480000,3.041189,8348.800000,0.924122,,True,65.970000,True,MEDIUM_PRIORITY,False,"Review collections, payments and liquidity visibility.",Cash Management,4.000000,48,True,CONTACT_DUE,TASK000001,10,AUTHORISED_RELATIONSHIP_MANAGER,False
OPP0004561,SME000003,RM036,BUSINESS_CREDIT_CARD,0.888160,0.250000,1.000000,78.940000,6,256608557.800000,246,0.027952,0,0,NONE,True,True,True,True,True,MEDIUM,Transportation,Marmara,114070989.540000,95854391.660000,5587722.480000,57869469.930000,24678456.470000,25129699.530000,33221419.010000,4563358.048333,12862067.343333,8,DERIVED_ANALYTICS,1,0.611352,0.092588,CROSS_BORDER_ACTIVITY,STRONG_PRODUCT_NEED_SIGNAL,MATERIAL_BUSINESS_SCALE,4618954.040400,195381.760000,72240.440000,18436.770000,141339.990000,25441.200000,1592.840000,77670.510000,0.549530,6771.340000,0.912535,,True,66.360000,True,MEDIUM_PRIORITY,True,Review employee spending controls and short-term purchasing needs.,Business Credit Card,8.000000,68,True,CONTACT_DUE,TASK000002,10,AUTHORISED_RELATIONSHIP_MANAGER,False
OPP0004566,SME000012,RM036,BUSINESS_CREDIT_CARD,0.708031,0.750000,1.000000,85.950000,68,82209375.530000,45,0.027311,5,0,NONE,True,True,True,False,False,SMALL,Healthcare,Marmara,47983091.880000,44296788.150000,22442005.100000,7836366.720000,0.000000,0.000000,0.000000,1606685.450000,5040553.841667,76,DERIVED_ANALYTICS,1,0.538793,0.133309,LOWER_CREDIT_RISK_SIGNAL,HIGH_DIGITAL_ENGAGEMENT,MATERIAL_BUSINESS_SCALE,1479768.759540,62594.220000,23143.580000,5771.110000,45280.920000,8150.570000,1121.970000,24406.990000,0.539013,2833.670000,0.855734,,True,67.720000,True,MEDIUM_PRIORITY,True,Review employee spending controls and short-term purchasing needs.,Business Credit Card,3.000000,68,True,CONTACT_DUE,TASK000003,10,AUTHORISED_RELATIONSHIP_MANAGER,False
OPP0008766,SME000013,RM008,CASH_MANAGEMENT,0.492585,0.875000,0.111933,87.080000,124,7801814.490000,9,0.042401,0,0,NONE,True,True,True,False,False,MICRO,Technology,Marmara,3975706.600000,3379249.490000,173855.660000,1781386.960000,0.000000,0.000000,0.000000,147604.220000,518809.693333,28,DERIVED_ANALYTICS,1,0.365303,0.075561,ESTABLISHED_RELATIONSHIP,HIGH_DIGITAL_ENGAGEMENT,LOWER_CREDIT_RISK_SIGNAL,6758498.980000,74343.490000,20275.500000,0.000000,16220.400000,2919.670000,1913.770000,49234.550000,3.035347,3300.230000,0.866081,,True,53.670000,True,MEDIUM_PRIORITY,False,"Review collections, payments and liquidity visibility.",Cash Management,20.000000,69,True,CONTACT_DUE,TASK000004,10,AUTHORISED_RELATIONSHIP_MANAGER,False
OPP0008774,SME000021,RM021,CASH_MANAGEMENT,0.701874,0.875000,0.320883,35.190000,41,303111426.220000,221,0.027563,30,0,NONE,True,True,True,True,False,MEDIUM,Hospitality,Marmara,162851497.380000,150200407.050000,77459389.020000,47056807.990000,34807127.310000,0.000000,17464951.100000,6518123.611667,13293565.530000,134,DERIVED_ANALYTICS,1,0.344194,0.044936,CROSS_BORDER_ACTIVITY,MATERIAL_BUSINESS_SCALE,LOWER_CREDIT_RISK_SIGNAL,250000000.000000,2750000.000000,750000.000000,0.000000,600000.000000,108000.000000,38400.000000,1853600.000000,3.089333,82874.270000,0.997305,,True,57.200000,True,MEDIUM_PRIORITY,False,"Review collections, payments and liquidity visibility.",Cash Management,15.000000,48,True,CONTACT_DUE,TASK000005,10,AUTHORISED_RELATIONSHIP_MANAGER,False
OPP0006607,SME000032,RM018,PAYROLL_SERVICES,0.582140,0.750000,0.388811,60.620000,70,32218708.580000,46,0.024783,0,0,NONE,True,True,True,True,False,SMALL,Manufacturing,Mediterranean,17014577.050000,15178475.900000,983625.540000,11114472.790000,3920161.790000,0.000000,1970170.520000,586817.403333,919342.670000,106,DERIVED_ANALYTICS,1,0.328767,0.138792,CROSS_BORDER_ACTIVITY,LOWER_CREDIT_RISK_SIGNAL,ESTABLISHED_RELATIONSHIP,22228945.580000,266747.350000,66686.840000,0.000000,53349.470000,9602.900000,4234.340000,186223.270000,3.490630,25426.210000,0.975210,,True,60.870000,True,MEDIUM_PRIORITY,False,Discuss payroll automation and employee banking needs.,Payroll Services,4.000000,57,True,CONTACT_DUE,TASK000006,10,AUTHORISED_RELATIONSHIP_MANAGER,False
OPP0006615,SME000044,RM022,PAYROLL_SERVICES,0.587941,0.750000,1.000000,76.600000,56,29272948.400000,47,0.037972,0,0,NONE,True,False,True,False,False,SMALL,Construction,Central Anatolia,13862145.620000,12561738.980000,400883.310000,9364882.400000,0.000000,0.000000,0.000000,495336.323333,1541504.245000,315,DERIVED_ANALYTICS,1,0.377570,0.072092,LOWER_CREDIT_RISK_SIGNAL,MATERIAL_BUSINESS_SCALE,HIGH_DIGITAL_ENGAGEMENT,18729764.800000,224757.180000,56189.290000,0.000000,44951.440000,8091.260000,3709.460000,156767.170000,3.487478,10881.660000,0.938888,,True,55.910000,True,MEDIUM_PRIORITY,False,Discuss payroll automation and employee banking needs.,Payroll Services,12.000000,46,True,CONTACT_DUE,TASK000007,10,AUTHORISED_RELATIONSHIP_MANAGER,False
OPP0002190,SME000048,RM024,POS_MERCHANT_ACQUIRING,0.550824,0.625000,1.000000,68.860000,75,17470484.230000,20,0.020070,0,0,NONE,True,True,True,False,True,SMALL,Healthcare,Eastern,8933086.620000,7943684.870000,4789250.550000,4499793.240000,0.000000,2025784.870000,983101.630000,390014.885000,512743.233333,283,DERIVED_ANALYTICS,1,0.393561,0.113843,CROSS_BORDER_ACTIVITY,LOWER_CREDIT_RISK_SIGNAL,ESTABLISHED_RELATIONSHIP,9578501.100000,124520.510000,28735.500000,0.000000,57471.010000,10344.780000,2336.780000,83103.450000,1.446006,9040.780000,0.928648,,True,57.920000,True,MEDIUM_PRIORITY,False,"Discuss merchant collections, settlement speed and acquiring economics.",POS & Merchant Acquiring,4.000000,54,True,CONTACT_DUE,TASK000008,10,AUTHORISED_RELATIONSHIP_MANAGER,False
OPP0008789,SME000053,RM021,CASH_MANAGEMENT,0.656874,0.750000,0.310275,67.610000,89,78683490.650000,66,0.011688,0,43,NONE,True,False,True,True,False,MEDIUM,Agriculture,Marmara,38810092.590000,33013383.610000,1509015.980000,12899054.100000,6492708.010000,0.000000,3491980.720000,1491607.696667,4318942.606667,82,DERIVED_ANALYTICS,1,0.504378,0.045847,ESTABLISHED_RELATIONSHIP,CROSS_BORDER_ACTIVITY,LOWER_CREDIT_RISK_SIGNAL,66026767.220000,726294.440000,198080.300000,0.000000,158464.240000,28523.560000,10804.020000,488886.560000,3.085154,21994.200000,0.970737,,True,59.690000,True,MEDIUM_PRIORITY,False,"Review collections, payments and liquidity visibility.",Cash Management,11.000000,48,True,CONTACT_DUE,TASK000009,10,AUTHORISED_RELATIONSHIP_MANAGER,False
OPP0006623,SME000055,RM002,PAYROLL_SERVICES,0.968162,0.875000,1.000000,66.800000,132,81357328.830000,225,0.005271,0,0,NONE,True,True,True,False,True,MEDIUM,Manufacturing,Marmara,42257378.010000,36306690.030000,1964466.090000,49004795.150000,0.000000,9504687.890000,5617833.070000,1895740.991667,3774250.401667,26,DERIVED_ANALYTICS,1,0.788486,0.041382,ESTABLISHED_RELATIONSHIP,CROSS_BORDER_ACTIVITY,LOWER_CREDIT_RISK_SIGNAL,98009590.300000,1176115.080000,294028.770000,0.000000,235223.020000,42340.140000,15601.440000,824144.730000,3.503674,33685.010000,0.983348,,True,76.710000,True,MEDIUM_PRIORITY,False,Discuss payroll automation and employee banking needs.,Payroll Services,1.000000,57,True,CONTACT_DUE,TASK000010,10,AUTHORISED_RELATIONSHIP_MANAGER,False
