candidate_id,customer_id,rm_id,product_code,propensity_probability,predicted_contact_uplift,reason_1,reason_2,reason_3,data_class
OPP0000001,SME000002,RM021,WORKING_CAPITAL_LOAN,0.279475,0.080900,ESTABLISHED_RELATIONSHIP,CROSS_BORDER_ACTIVITY,HIGH_DIGITAL_ENGAGEMENT,DERIVED_ANALYTICS
OPP0000002,SME000004,RM038,WORKING_CAPITAL_LOAN,0.325120,0.023508,ESTABLISHED_RELATIONSHIP,MATERIAL_BUSINESS_SCALE,LOWER_CREDIT_RISK_SIGNAL,DERIVED_ANALYTICS
OPP0000003,SME000005,RM035,WORKING_CAPITAL_LOAN,0.135925,-0.019684,LOWER_CREDIT_RISK_SIGNAL,ESTABLISHED_RELATIONSHIP,MATERIAL_BUSINESS_SCALE,DERIVED_ANALYTICS
OPP0000004,SME000006,RM037,WORKING_CAPITAL_LOAN,0.299144,0.030221,ESTABLISHED_RELATIONSHIP,LOWER_CREDIT_RISK_SIGNAL,MATERIAL_BUSINESS_SCALE,DERIVED_ANALYTICS
OPP0000005,SME000007,RM009,WORKING_CAPITAL_LOAN,0.275211,-0.050842,LOWER_CREDIT_RISK_SIGNAL,MATERIAL_BUSINESS_SCALE,HIGH_DIGITAL_ENGAGEMENT,DERIVED_ANALYTICS
OPP0000006,SME000010,RM031,WORKING_CAPITAL_LOAN,0.257287,-0.002661,ESTABLISHED_RELATIONSHIP,MATERIAL_BUSINESS_SCALE,HIGH_DIGITAL_ENGAGEMENT,DERIVED_ANALYTICS
OPP0000007,SME000011,RM040,WORKING_CAPITAL_LOAN,0.150629,0.010051,ESTABLISHED_RELATIONSHIP,CROSS_BORDER_ACTIVITY,LOWER_CREDIT_RISK_SIGNAL,DERIVED_ANALYTICS
OPP0000008,SME000012,RM036,WORKING_CAPITAL_LOAN,0.362188,0.069440,LOWER_CREDIT_RISK_SIGNAL,HIGH_DIGITAL_ENGAGEMENT,MATERIAL_BUSINESS_SCALE,DERIVED_ANALYTICS
OPP0000009,SME000013,RM008,WORKING_CAPITAL_LOAN,0.356804,0.020575,ESTABLISHED_RELATIONSHIP,HIGH_DIGITAL_ENGAGEMENT,LOWER_CREDIT_RISK_SIGNAL,DERIVED_ANALYTICS
OPP0000010,SME000014,RM019,WORKING_CAPITAL_LOAN,0.265151,0.024778,LOWER_CREDIT_RISK_SIGNAL,ESTABLISHED_RELATIONSHIP,MATERIAL_BUSINESS_SCALE,DERIVED_ANALYTICS
OPP0000011,SME000017,RM016,WORKING_CAPITAL_LOAN,0.168977,0.021532,CROSS_BORDER_ACTIVITY,LOWER_CREDIT_RISK_SIGNAL,HIGH_DIGITAL_ENGAGEMENT,DERIVED_ANALYTICS
OPP0000012,SME000018,RM036,WORKING_CAPITAL_LOAN,0.128287,0.014829,ESTABLISHED_RELATIONSHIP,LOWER_CREDIT_RISK_SIGNAL,MATERIAL_BUSINESS_SCALE,DERIVED_ANALYTICS
OPP0000013,SME000020,RM008,WORKING_CAPITAL_LOAN,0.139429,0.012306,LOWER_CREDIT_RISK_SIGNAL,MATERIAL_BUSINESS_SCALE,ESTABLISHED_RELATIONSHIP,DERIVED_ANALYTICS
OPP0000014,SME000021,RM021,WORKING_CAPITAL_LOAN,0.212455,-0.004481,CROSS_BORDER_ACTIVITY,MATERIAL_BUSINESS_SCALE,LOWER_CREDIT_RISK_SIGNAL,DERIVED_ANALYTICS
OPP0000015,SME000022,RM029,WORKING_CAPITAL_LOAN,0.271642,0.005020,ESTABLISHED_RELATIONSHIP,HIGH_DIGITAL_ENGAGEMENT,MATERIAL_BUSINESS_SCALE,DERIVED_ANALYTICS
OPP0000016,SME000023,RM009,WORKING_CAPITAL_LOAN,0.316276,0.008305,ESTABLISHED_RELATIONSHIP,LOWER_CREDIT_RISK_SIGNAL,MATERIAL_BUSINESS_SCALE,DERIVED_ANALYTICS
OPP0000017,SME000024,RM002,WORKING_CAPITAL_LOAN,0.191812,-0.017859,ESTABLISHED_RELATIONSHIP,LOWER_CREDIT_RISK_SIGNAL,MATERIAL_BUSINESS_SCALE,DERIVED_ANALYTICS
OPP0000018,SME000027,RM012,WORKING_CAPITAL_LOAN,0.149655,-0.002442,LOWER_CREDIT_RISK_SIGNAL,MATERIAL_BUSINESS_SCALE,STRONG_PRODUCT_NEED_SIGNAL,DERIVED_ANALYTICS
OPP0000019,SME000028,RM040,WORKING_CAPITAL_LOAN,0.236098,-0.028059,CROSS_BORDER_ACTIVITY,MATERIAL_BUSINESS_SCALE,LOWER_CREDIT_RISK_SIGNAL,DERIVED_ANALYTICS
OPP0000020,SME000029,RM039,WORKING_CAPITAL_LOAN,0.333341,-0.059285,CROSS_BORDER_ACTIVITY,MATERIAL_BUSINESS_SCALE,LOWER_CREDIT_RISK_SIGNAL,DERIVED_ANALYTICS
OPP0000021,SME000030,RM048,WORKING_CAPITAL_LOAN,0.148301,-0.011478,LOWER_CREDIT_RISK_SIGNAL,MATERIAL_BUSINESS_SCALE,HIGH_DIGITAL_ENGAGEMENT,DERIVED_ANALYTICS
OPP0000022,SME000031,RM034,WORKING_CAPITAL_LOAN,0.320572,-0.003817,LOWER_CREDIT_RISK_SIGNAL,MATERIAL_BUSINESS_SCALE,ESTABLISHED_RELATIONSHIP,DERIVED_ANALYTICS
OPP0000023,SME000034,RM009,WORKING_CAPITAL_LOAN,0.178159,0.042041,CROSS_BORDER_ACTIVITY,LOWER_CREDIT_RISK_SIGNAL,HIGH_DIGITAL_ENGAGEMENT,DERIVED_ANALYTICS
OPP0000024,SME000035,RM015,WORKING_CAPITAL_LOAN,0.334394,0.008831,ESTABLISHED_RELATIONSHIP,MATERIAL_BUSINESS_SCALE,LOWER_CREDIT_RISK_SIGNAL,DERIVED_ANALYTICS
OPP0000025,SME000038,RM006,WORKING_CAPITAL_LOAN,0.225468,0.068419,CROSS_BORDER_ACTIVITY,LOWER_CREDIT_RISK_SIGNAL,MATERIAL_BUSINESS_SCALE,DERIVED_ANALYTICS
OPP0000026,SME000039,RM015,WORKING_CAPITAL_LOAN,0.191800,0.029948,ESTABLISHED_RELATIONSHIP,LOWER_CREDIT_RISK_SIGNAL,HIGH_DIGITAL_ENGAGEMENT,DERIVED_ANALYTICS
OPP0000027,SME000040,RM015,WORKING_CAPITAL_LOAN,0.207121,-0.018197,ESTABLISHED_RELATIONSHIP,LOWER_CREDIT_RISK_SIGNAL,MATERIAL_BUSINESS_SCALE,DERIVED_ANALYTICS
