rm_id,rm_label,region,seniority,monthly_contact_capacity,annual_target_try,data_class,candidate_opportunities,eligible_opportunities,allocated_tasks,high_priority_tasks,expected_incremental_profit_try,average_opportunity_score,capacity_utilisation,expected_target_coverage
RM001,Relationship Manager 001,Mediterranean,Manager,49,12652277,DERIVED_ANALYTICS,279,166,10,0,142545.590000,58.515000,0.204082,0.011266
RM002,Relationship Manager 002,Marmara,Manager,57,12639100,DERIVED_ANALYTICS,761,498,29,0,629955.370000,59.682759,0.508772,0.049842
RM003,Relationship Manager 003,Black Sea,Associate,52,13978226,DERIVED_ANALYTICS,212,148,3,0,22501.410000,54.500000,0.057692,0.001610
RM004,Relationship Manager 004,Central Anatolia,Associate,59,14098189,DERIVED_ANALYTICS,414,260,9,0,194268.410000,61.243333,0.152542,0.013780
RM005,Relationship Manager 005,Eastern,Associate,59,8035586,DERIVED_ANALYTICS,195,136,7,0,123027.370000,60.098571,0.118644,0.015310
RM006,Relationship Manager 006,Aegean,Senior Manager,63,13782325,DERIVED_ANALYTICS,333,229,18,0,497688.910000,60.288333,0.285714,0.036111
RM007,Relationship Manager 007,Central Anatolia,Manager,57,8024179,DERIVED_ANALYTICS,424,261,16,1,447077.250000,62.703750,0.280702,0.055716
RM008,Relationship Manager 008,Marmara,Associate,69,13153766,DERIVED_ANALYTICS,865,596,27,0,636490.640000,58.193333,0.391304,0.048388
RM009,Relationship Manager 009,Marmara,Manager,69,9079151,DERIVED_ANALYTICS,816,524,34,0,951504.680000,61.332059,0.492754,0.104801
RM010,Relationship Manager 010,Central Anatolia,Manager,58,8738008,DERIVED_ANALYTICS,495,316,14,0,229969.210000,60.852143,0.241379,0.026318
RM011,Relationship Manager 011,Black Sea,Manager,62,14170123,DERIVED_ANALYTICS,243,153,1,0,8953.370000,54.700000,0.016129,0.000632
RM012,Relationship Manager 012,Central Anatolia,Manager,50,12547627,DERIVED_ANALYTICS,448,324,18,0,461532.560000,61.403889,0.360000,0.036782
RM013,Relationship Manager 013,Black Sea,Senior Manager,70,10599786,DERIVED_ANALYTICS,206,142,2,0,24265.290000,54.535000,0.028571,0.002289
RM014,Relationship Manager 014,Eastern,Manager,69,13837091,DERIVED_ANALYTICS,148,89,5,0,172641.000000,63.788000,0.072464,0.012477
RM015,Relationship Manager 015,Marmara,Senior Manager,66,10152907,DERIVED_ANALYTICS,782,480,26,0,657239.460000,59.956923,0.393939,0.064734
RM016,Relationship Manager 016,Mediterranean,Associate,51,13989976,DERIVED_ANALYTICS,282,183,7,0,227541.510000,61.742857,0.137255,0.016265
RM017,Relationship Manager 017,Aegean,Senior Manager,60,13388197,DERIVED_ANALYTICS,355,220,12,1,498623.160000,62.825833,0.200000,0.037243
RM018,Relationship Manager 018,Mediterranean,Manager,57,11407436,DERIVED_ANALYTICS,306,218,9,0,233438.450000,59.804444,0.157895,0.020464
RM019,Relationship Manager 019,Aegean,Manager,70,14059176,DERIVED_ANALYTICS,338,215,15,0,693003.900000,61.872000,0.214286,0.049292
RM020,Relationship Manager 020,Mediterranean,Associate,57,11406317,DERIVED_ANALYTICS,326,204,11,0,204870.230000,60.782727,0.192982,0.017961
RM021,Relationship Manager 021,Marmara,Manager,48,12090311,DERIVED_ANALYTICS,708,456,23,1,605539.700000,60.289565,0.479167,0.050085
RM022,Relationship Manager 022,Central Anatolia,Manager,46,10022793,DERIVED_ANALYTICS,479,316,16,0,401705.600000,57.567500,0.347826,0.040079
RM023,Relationship Manager 023,Black Sea,Associate,52,12170768,DERIVED_ANALYTICS,183,115,4,0,59079.870000,58.470000,0.076923,0.004854
RM024,Relationship Manager 024,Eastern,Manager,54,9761019,DERIVED_ANALYTICS,187,129,9,0,160340.700000,59.127778,0.166667,0.016427
RM025,Relationship Manager 025,Black Sea,Senior Manager,55,8777781,DERIVED_ANALYTICS,231,152,3,0,40397.330000,56.786667,0.054545,0.004602
RM026,Relationship Manager 026,Black Sea,Manager,60,9225955,DERIVED_ANALYTICS,287,200,3,0,54720.690000,54.610000,0.050000,0.005931
RM027,Relationship Manager 027,Eastern,Senior Manager,60,12042091,DERIVED_ANALYTICS,188,126,8,0,116491.270000,58.660000,0.133333,0.009674
RM028,Relationship Manager 028,Eastern,Manager,66,14663764,DERIVED_ANALYTICS,204,139,6,0,109262.070000,59.683333,0.090909,0.007451
RM029,Relationship Manager 029,Marmara,Manager,56,11500428,DERIVED_ANALYTICS,830,561,34,0,687951.700000,60.283235,0.607143,0.059820
RM030,Relationship Manager 030,Central Anatolia,Manager,46,8416654,DERIVED_ANALYTICS,454,284,21,0,527064.230000,61.886190,0.456522,0.062622
RM031,Relationship Manager 031,Black Sea,Manager,55,10882137,DERIVED_ANALYTICS,308,180,7,0,124609.960000,58.728571,0.127273,0.011451
RM032,Relationship Manager 032,Aegean,Associate,50,10228101,DERIVED_ANALYTICS,335,238,18,0,709100.070000,59.575000,0.360000,0.069329
RM033,Relationship Manager 033,Mediterranean,Manager,59,12823257,DERIVED_ANALYTICS,257,190,11,0,230245.950000,59.923636,0.186441,0.017955
RM034,Relationship Manager 034,Aegean,Manager,61,14165793,DERIVED_ANALYTICS,306,200,14,0,609624.160000,62.771429,0.229508,0.043035
RM035,Relationship Manager 035,Central Anatolia,Manager,59,10889767,DERIVED_ANALYTICS,479,299,19,0,549247.690000,58.196316,0.322034,0.050437
RM036,Relationship Manager 036,Marmara,Senior Manager,68,14398006,DERIVED_ANALYTICS,729,489,28,0,590780.390000,61.280000,0.411765,0.041032
RM037,Relationship Manager 037,Aegean,Manager,47,12086612,DERIVED_ANALYTICS,348,235,20,0,403284.420000,58.664000,0.425532,0.033366
RM038,Relationship Manager 038,Aegean,Associate,62,10569107,DERIVED_ANALYTICS,381,255,14,0,322840.750000,59.265000,0.225806,0.030546
RM039,Relationship Manager 039,Eastern,Senior Manager,47,8561854,DERIVED_ANALYTICS,249,155,7,0,113383.870000,57.544286,0.148936,0.013243
RM040,Relationship Manager 040,Black Sea,Manager,69,11841981,DERIVED_ANALYTICS,221,153,1,0,4163.570000,55.470000,0.014493,0.000352
RM041,Relationship Manager 041,Marmara,Associate,55,11663414,DERIVED_ANALYTICS,824,563,29,0,987917.750000,61.130000,0.527273,0.084702
RM042,Relationship Manager 042,Mediterranean,Senior Manager,49,8132264,DERIVED_ANALYTICS,313,229,13,0,155130.040000,56.651538,0.265306,0.019076
RM043,Relationship Manager 043,Mediterranean,Senior Manager,52,14343799,DERIVED_ANALYTICS,332,202,14,0,305945.040000,59.761429,0.269231,0.021329
RM044,Relationship Manager 044,Eastern,Senior Manager,50,11737648,DERIVED_ANALYTICS,183,129,8,0,315921.900000,63.017500,0.160000,0.026915
RM045,Relationship Manager 045,Aegean,Manager,46,10947396,DERIVED_ANALYTICS,427,292,21,1,645787.410000,60.968095,0.456522,0.058990
RM046,Relationship Manager 046,Mediterranean,Senior Manager,63,11936019,DERIVED_ANALYTICS,318,212,9,0,194764.530000,62.995556,0.142857,0.016317
RM047,Relationship Manager 047,Central Anatolia,Manager,67,13534674,DERIVED_ANALYTICS,386,280,20,0,444662.460000,58.290000,0.298507,0.032854
RM048,Relationship Manager 048,Eastern,Manager,64,14535537,DERIVED_ANALYTICS,181,109,8,0,210694.080000,64.308750,0.125000,0.014495
