uplift_decile,observations,treated_observations,control_observations,mean_predicted_uplift,treated_activation_rate,control_activation_rate,observed_incremental_rate,cumulative_incremental_activations,data_class
1,320,187,133,0.143138,0.491979,0.428571,0.063407,20.290298,DERIVED_ANALYTICS
2,320,172,148,0.101221,0.534884,0.425676,0.109208,55.236872,DERIVED_ANALYTICS
3,320,176,144,0.078029,0.403409,0.319444,0.083965,82.105559,DERIVED_ANALYTICS
4,320,168,152,0.061929,0.303571,0.210526,0.093045,111.879995,DERIVED_ANALYTICS
5,320,184,136,0.049218,0.293478,0.205882,0.087596,139.910686,DERIVED_ANALYTICS
6,320,159,161,0.038536,0.264151,0.142857,0.121294,178.724702,DERIVED_ANALYTICS
7,320,179,141,0.028287,0.201117,0.184397,0.016720,184.075152,DERIVED_ANALYTICS
8,320,182,138,0.017742,0.247253,0.166667,0.080586,209.862698,DERIVED_ANALYTICS
9,320,179,141,0.005025,0.189944,0.177305,0.012639,213.907232,DERIVED_ANALYTICS
10,320,193,127,-0.026870,0.295337,0.267717,0.027620,222.745713,DERIVED_ANALYTICS
