customer_id,customer_label,rm_id,region,sector,size_band,legal_form,onboarding_date,relationship_tenure_months,annual_turnover_try,employees,exporter_flag,importer_flag,digital_engagement_score,contact_permission,preferred_channel,data_class
SME000001,Synthetic SME 000001,RM006,Aegean,Hospitality,MICRO,SOLE_PROPRIETOR,2025-12-20,7,16751268.890000,8,False,True,60.530000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000002,Synthetic SME 000002,RM021,Marmara,Transportation,MICRO,LIMITED,2015-02-27,137,8580348.830000,6,True,False,97.400000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000003,Synthetic SME 000003,RM036,Marmara,Transportation,MEDIUM,LIMITED,2026-02-16,6,256608557.800000,246,True,True,78.940000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000004,Synthetic SME 000004,RM038,Aegean,Wholesale Trade,SMALL,JOINT_STOCK,2019-03-13,89,105865617.200000,38,False,False,75.410000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000005,Synthetic SME 000005,RM035,Central Anatolia,Professional Services,MICRO,LIMITED,2021-03-28,64,3217984.450000,7,False,False,41.450000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000006,Synthetic SME 000006,RM037,Aegean,Professional Services,SMALL,LIMITED,2018-07-13,97,20870092.920000,35,False,False,60.410000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000007,Synthetic SME 000007,RM009,Marmara,Professional Services,MEDIUM,LIMITED,2024-02-12,30,117590367.200000,232,False,False,54.210000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000008,Synthetic SME 000008,RM007,Central Anatolia,Manufacturing,MICRO,LIMITED,2017-08-08,108,15725937.530000,8,False,False,79.210000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000009,Synthetic SME 000009,RM041,Marmara,Hospitality,MICRO,JOINT_STOCK,2019-12-25,79,6522618.370000,9,False,False,75.180000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000010,Synthetic SME 000010,RM031,Black Sea,Retail Trade,SMALL,LIMITED,2019-04-16,88,18012809.660000,15,False,False,71.340000,False,RM_CALL,CONTROLLED_SYNTHETIC
SME000011,Synthetic SME 000011,RM040,Black Sea,Manufacturing,MICRO,LIMITED,2017-12-12,104,2782827.780000,8,True,False,47.430000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000012,Synthetic SME 000012,RM036,Marmara,Healthcare,SMALL,LIMITED,2020-12-02,68,82209375.530000,45,False,False,85.950000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000013,Synthetic SME 000013,RM008,Marmara,Technology,MICRO,LIMITED,2016-04-15,124,7801814.490000,9,False,False,87.080000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000014,Synthetic SME 000014,RM019,Aegean,Professional Services,SMALL,LIMITED,2019-12-24,79,18468178.670000,25,False,False,57.660000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000015,Synthetic SME 000015,RM025,Black Sea,Hospitality,MEDIUM,JOINT_STOCK,2017-09-04,107,91271198.650000,244,False,True,70.320000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000016,Synthetic SME 000016,RM002,Marmara,Wholesale Trade,MICRO,LIMITED,2020-11-25,68,6772212.050000,6,False,False,57.180000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000017,Synthetic SME 000017,RM016,Mediterranean,Manufacturing,MICRO,JOINT_STOCK,2022-08-18,48,7653108.830000,6,False,True,78.370000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000018,Synthetic SME 000018,RM036,Marmara,Manufacturing,MICRO,SOLE_PROPRIETOR,2018-06-20,98,1264217.130000,3,False,False,54.010000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000019,Synthetic SME 000019,RM034,Aegean,Healthcare,MICRO,SOLE_PROPRIETOR,2025-09-08,11,64080238.350000,4,False,False,49.820000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000020,Synthetic SME 000020,RM008,Marmara,Healthcare,MICRO,JOINT_STOCK,2022-09-17,47,6049570.800000,9,False,False,55.230000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000021,Synthetic SME 000021,RM021,Marmara,Hospitality,MEDIUM,JOINT_STOCK,2023-03-20,41,303111426.220000,221,True,False,35.190000,True,RM_CALL,CONTROLLED_SYNTHETIC
