interaction_id,customer_id,rm_id,interaction_date,channel,outcome,data_class
I0000001,SME000001,RM006,2026-05-01,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000002,SME000002,RM021,2026-04-24,BRANCH,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000003,SME000002,RM021,2025-11-17,BRANCH,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000004,SME000003,RM036,2026-01-06,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000005,SME000003,RM036,2025-11-28,BRANCH,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000006,SME000003,RM036,2026-02-02,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000007,SME000003,RM036,2026-08-12,BRANCH,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000008,SME000003,RM036,2026-04-29,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000009,SME000004,RM038,2026-05-19,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000010,SME000004,RM038,2026-07-19,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000011,SME000004,RM038,2026-06-11,MEETING,NEEDS_REVIEW,CONTROLLED_SYNTHETIC
I0000012,SME000004,RM038,2026-05-09,BRANCH,NEEDS_REVIEW,CONTROLLED_SYNTHETIC
I0000013,SME000004,RM038,2025-10-31,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000014,SME000004,RM038,2026-06-06,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000015,SME000005,RM035,2026-02-13,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000016,SME000005,RM035,2025-10-03,CALL,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000017,SME000005,RM035,2026-05-30,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000018,SME000006,RM037,2025-12-15,MEETING,NEEDS_REVIEW,CONTROLLED_SYNTHETIC
I0000019,SME000006,RM037,2026-03-19,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000020,SME000006,RM037,2026-07-31,SECURE_MESSAGE,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000021,SME000007,RM009,2025-11-07,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000022,SME000007,RM009,2025-08-26,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000023,SME000007,RM009,2025-12-14,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000024,SME000007,RM009,2026-02-18,BRANCH,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000025,SME000008,RM007,2025-10-18,SECURE_MESSAGE,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000026,SME000008,RM007,2025-12-01,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000027,SME000008,RM007,2026-08-11,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000028,SME000008,RM007,2025-09-10,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000029,SME000008,RM007,2026-01-10,MEETING,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000030,SME000009,RM041,2026-04-14,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000031,SME000009,RM041,2025-11-26,SECURE_MESSAGE,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000032,SME000009,RM041,2026-03-22,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000033,SME000009,RM041,2026-03-31,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000034,SME000009,RM041,2026-08-08,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000035,SME000010,RM031,2026-01-02,SECURE_MESSAGE,NEEDS_REVIEW,CONTROLLED_SYNTHETIC
I0000036,SME000011,RM040,2026-06-06,MEETING,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000037,SME000011,RM040,2026-06-10,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000038,SME000012,RM036,2026-06-05,SECURE_MESSAGE,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000039,SME000012,RM036,2026-03-20,BRANCH,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000040,SME000012,RM036,2025-12-01,CALL,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000041,SME000012,RM036,2025-08-26,CALL,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000042,SME000012,RM036,2026-01-12,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000043,SME000013,RM008,2026-06-03,MEETING,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000044,SME000013,RM008,2026-07-23,MEETING,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000045,SME000013,RM008,2026-03-03,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000046,SME000013,RM008,2026-01-03,SECURE_MESSAGE,FOLLOW_UP,CONTROLLED_SYNTHETIC
