holding_id,customer_id,product_code,opened_date,exposure_try,annual_gross_income_try,active_flag,data_class
H0000001,SME000001,WORKING_CAPITAL_LOAN,2022-06-09,1573875.650000,16176.540000,True,CONTROLLED_SYNTHETIC
H0000002,SME000003,WORKING_CAPITAL_LOAN,2026-05-21,59040069.220000,2056786.940000,True,CONTROLLED_SYNTHETIC
H0000003,SME000008,WORKING_CAPITAL_LOAN,2020-07-20,1773785.470000,15493.390000,True,CONTROLLED_SYNTHETIC
H0000004,SME000009,WORKING_CAPITAL_LOAN,2021-02-18,1180126.890000,34425.700000,True,CONTROLLED_SYNTHETIC
H0000005,SME000015,WORKING_CAPITAL_LOAN,2024-09-30,19225395.620000,111313.390000,True,CONTROLLED_SYNTHETIC
H0000006,SME000016,WORKING_CAPITAL_LOAN,2023-12-14,1624037.650000,75753.580000,True,CONTROLLED_SYNTHETIC
H0000007,SME000019,WORKING_CAPITAL_LOAN,2020-08-08,5949117.360000,276782.560000,True,CONTROLLED_SYNTHETIC
H0000008,SME000025,WORKING_CAPITAL_LOAN,2021-07-03,1475925.190000,27748.600000,True,CONTROLLED_SYNTHETIC
H0000009,SME000026,WORKING_CAPITAL_LOAN,2022-09-27,580610.310000,28142.120000,True,CONTROLLED_SYNTHETIC
H0000010,SME000032,WORKING_CAPITAL_LOAN,2022-10-07,4200314.670000,23339.950000,True,CONTROLLED_SYNTHETIC
H0000011,SME000033,WORKING_CAPITAL_LOAN,2024-04-17,14218516.740000,83051.250000,True,CONTROLLED_SYNTHETIC
H0000012,SME000036,WORKING_CAPITAL_LOAN,2025-03-20,1245508.130000,53297.590000,True,CONTROLLED_SYNTHETIC
H0000013,SME000037,WORKING_CAPITAL_LOAN,2023-11-03,2880790.850000,120185.760000,True,CONTROLLED_SYNTHETIC
H0000014,SME000045,WORKING_CAPITAL_LOAN,2022-12-18,622985.440000,13567.590000,True,CONTROLLED_SYNTHETIC
H0000015,SME000048,WORKING_CAPITAL_LOAN,2023-11-15,4842921.450000,64234.530000,True,CONTROLLED_SYNTHETIC
H0000016,SME000051,WORKING_CAPITAL_LOAN,2022-08-24,702885.460000,29132.170000,True,CONTROLLED_SYNTHETIC
H0000017,SME000054,WORKING_CAPITAL_LOAN,2022-11-19,1175347.650000,39926.160000,True,CONTROLLED_SYNTHETIC
H0000018,SME000059,WORKING_CAPITAL_LOAN,2024-02-22,5350928.300000,286919.710000,True,CONTROLLED_SYNTHETIC
H0000019,SME000060,WORKING_CAPITAL_LOAN,2020-10-02,3080538.840000,102592.920000,True,CONTROLLED_SYNTHETIC
H0000020,SME000062,WORKING_CAPITAL_LOAN,2026-01-25,3455333.260000,164170.220000,True,CONTROLLED_SYNTHETIC
H0000021,SME000064,WORKING_CAPITAL_LOAN,2020-03-23,1307629.390000,6817.000000,True,CONTROLLED_SYNTHETIC
H0000022,SME000066,WORKING_CAPITAL_LOAN,2020-08-10,4930786.890000,215038.320000,True,CONTROLLED_SYNTHETIC
H0000023,SME000070,WORKING_CAPITAL_LOAN,2023-04-05,4099218.230000,103300.280000,True,CONTROLLED_SYNTHETIC
H0000024,SME000071,WORKING_CAPITAL_LOAN,2026-03-01,5911070.580000,265318.260000,True,CONTROLLED_SYNTHETIC
H0000025,SME000072,WORKING_CAPITAL_LOAN,2021-09-26,2595036.620000,28887.100000,True,CONTROLLED_SYNTHETIC
H0000026,SME000075,WORKING_CAPITAL_LOAN,2025-12-31,943367.290000,29247.760000,True,CONTROLLED_SYNTHETIC
H0000027,SME000079,WORKING_CAPITAL_LOAN,2022-11-21,436752.630000,16123.030000,True,CONTROLLED_SYNTHETIC
H0000028,SME000080,WORKING_CAPITAL_LOAN,2022-09-19,4046338.100000,102792.040000,True,CONTROLLED_SYNTHETIC
H0000029,SME000085,WORKING_CAPITAL_LOAN,2025-02-02,56039231.080000,1024980.750000,True,CONTROLLED_SYNTHETIC
H0000030,SME000089,WORKING_CAPITAL_LOAN,2022-06-13,5767274.970000,118505.710000,True,CONTROLLED_SYNTHETIC
H0000031,SME000092,WORKING_CAPITAL_LOAN,2026-02-05,23157754.210000,282162.560000,True,CONTROLLED_SYNTHETIC
H0000032,SME000094,WORKING_CAPITAL_LOAN,2024-05-12,7963776.780000,350895.350000,True,CONTROLLED_SYNTHETIC
H0000033,SME000095,WORKING_CAPITAL_LOAN,2024-09-02,795801.440000,15538.500000,True,CONTROLLED_SYNTHETIC
H0000034,SME000098,WORKING_CAPITAL_LOAN,2024-10-29,19938830.350000,136102.200000,True,CONTROLLED_SYNTHETIC
H0000035,SME000100,WORKING_CAPITAL_LOAN,2020-08-18,6570904.540000,348715.650000,True,CONTROLLED_SYNTHETIC
H0000036,SME000101,WORKING_CAPITAL_LOAN,2025-09-28,6142595.810000,286651.270000,True,CONTROLLED_SYNTHETIC
H0000037,SME000105,WORKING_CAPITAL_LOAN,2021-05-10,6707995.440000,86122.190000,True,CONTROLLED_SYNTHETIC
H0000038,SME000108,WORKING_CAPITAL_LOAN,2025-03-10,3406714.240000,81566.270000,True,CONTROLLED_SYNTHETIC
H0000039,SME000116,WORKING_CAPITAL_LOAN,2023-09-20,2619480.140000,26113.720000,True,CONTROLLED_SYNTHETIC
H0000040,SME000117,WORKING_CAPITAL_LOAN,2025-01-28,1776331.430000,35847.900000,True,CONTROLLED_SYNTHETIC
H0000041,SME000121,WORKING_CAPITAL_LOAN,2022-12-16,2773449.610000,102130.830000,True,CONTROLLED_SYNTHETIC
H0000042,SME000128,WORKING_CAPITAL_LOAN,2026-01-04,1013036.010000,37075.740000,True,CONTROLLED_SYNTHETIC
H0000043,SME000130,WORKING_CAPITAL_LOAN,2022-11-27,1361579.870000,56890.780000,True,CONTROLLED_SYNTHETIC
H0000044,SME000132,WORKING_CAPITAL_LOAN,2020-05-06,2153104.420000,55036.500000,True,CONTROLLED_SYNTHETIC
H0000045,SME000133,WORKING_CAPITAL_LOAN,2024-05-25,2259195.240000,37492.870000,True,CONTROLLED_SYNTHETIC
H0000046,SME000135,WORKING_CAPITAL_LOAN,2025-10-14,7021818.520000,46020.670000,True,CONTROLLED_SYNTHETIC
H0000047,SME000136,WORKING_CAPITAL_LOAN,2020-02-10,1740418.280000,89407.810000,True,CONTROLLED_SYNTHETIC
H0000048,SME000137,WORKING_CAPITAL_LOAN,2022-03-01,7469173.420000,335007.020000,True,CONTROLLED_SYNTHETIC
H0000049,SME000139,WORKING_CAPITAL_LOAN,2020-10-23,452075.700000,6826.550000,True,CONTROLLED_SYNTHETIC
H0000050,SME000141,WORKING_CAPITAL_LOAN,2024-03-12,1262550.390000,65284.180000,True,CONTROLLED_SYNTHETIC
H0000051,SME000144,WORKING_CAPITAL_LOAN,2025-04-11,3112016.330000,62147.540000,True,CONTROLLED_SYNTHETIC
H0000052,SME000150,WORKING_CAPITAL_LOAN,2023-12-06,2996194.390000,62197.300000,True,CONTROLLED_SYNTHETIC
H0000053,SME000151,WORKING_CAPITAL_LOAN,2024-08-28,3075414.320000,48249.600000,True,CONTROLLED_SYNTHETIC
H0000054,SME000156,WORKING_CAPITAL_LOAN,2024-06-29,5523031.810000,299572.270000,True,CONTROLLED_SYNTHETIC
H0000055,SME000162,WORKING_CAPITAL_LOAN,2025-07-27,7602330.600000,74275.810000,True,CONTROLLED_SYNTHETIC
H0000056,SME000164,WORKING_CAPITAL_LOAN,2021-07-30,2833819.140000,20340.300000,True,CONTROLLED_SYNTHETIC
H0000057,SME000165,WORKING_CAPITAL_LOAN,2022-11-11,1206240.390000,37427.910000,True,CONTROLLED_SYNTHETIC
H0000058,SME000169,WORKING_CAPITAL_LOAN,2024-01-14,3880022.790000,42256.510000,True,CONTROLLED_SYNTHETIC
H0000059,SME000174,WORKING_CAPITAL_LOAN,2024-04-18,14019977.100000,679173.360000,True,CONTROLLED_SYNTHETIC
H0000060,SME000175,WORKING_CAPITAL_LOAN,2022-09-14,982777.200000,50784.290000,True,CONTROLLED_SYNTHETIC
H0000061,SME000176,WORKING_CAPITAL_LOAN,2022-02-19,720996.700000,34080.540000,True,CONTROLLED_SYNTHETIC
H0000062,SME000177,WORKING_CAPITAL_LOAN,2021-09-14,3990717.650000,72398.660000,True,CONTROLLED_SYNTHETIC
H0000063,SME000182,WORKING_CAPITAL_LOAN,2026-02-03,728494.780000,27652.580000,True,CONTROLLED_SYNTHETIC
H0000064,SME000184,WORKING_CAPITAL_LOAN,2025-07-26,3191116.190000,80312.610000,True,CONTROLLED_SYNTHETIC
H0000065,SME000185,WORKING_CAPITAL_LOAN,2026-03-18,1886582.200000,33926.740000,True,CONTROLLED_SYNTHETIC
H0000066,SME000188,WORKING_CAPITAL_LOAN,2024-12-12,2178257.470000,11121.340000,True,CONTROLLED_SYNTHETIC
H0000067,SME000191,WORKING_CAPITAL_LOAN,2020-06-10,2798725.680000,106774.740000,True,CONTROLLED_SYNTHETIC
H0000068,SME000192,WORKING_CAPITAL_LOAN,2023-10-19,759178.830000,24514.680000,True,CONTROLLED_SYNTHETIC
H0000069,SME000195,WORKING_CAPITAL_LOAN,2020-10-30,1594344.950000,13317.260000,True,CONTROLLED_SYNTHETIC
H0000070,SME000203,WORKING_CAPITAL_LOAN,2022-08-04,5019589.730000,138804.800000,True,CONTROLLED_SYNTHETIC
H0000071,SME000208,WORKING_CAPITAL_LOAN,2026-04-08,15956503.330000,114719.850000,True,CONTROLLED_SYNTHETIC
H0000072,SME000210,WORKING_CAPITAL_LOAN,2023-06-21,12707190.440000,162209.100000,True,CONTROLLED_SYNTHETIC
H0000073,SME000212,WORKING_CAPITAL_LOAN,2025-07-01,3291869.030000,32127.570000,True,CONTROLLED_SYNTHETIC
H0000074,SME000213,WORKING_CAPITAL_LOAN,2021-01-08,954698.750000,47087.830000,True,CONTROLLED_SYNTHETIC
H0000075,SME000214,WORKING_CAPITAL_LOAN,2026-01-13,1514698.310000,21232.060000,True,CONTROLLED_SYNTHETIC
H0000076,SME000215,WORKING_CAPITAL_LOAN,2021-08-06,1307029.670000,50216.840000,True,CONTROLLED_SYNTHETIC
H0000077,SME000216,WORKING_CAPITAL_LOAN,2024-01-01,1048356.290000,27066.130000,True,CONTROLLED_SYNTHETIC
H0000078,SME000221,WORKING_CAPITAL_LOAN,2021-12-10,2388538.170000,105440.380000,True,CONTROLLED_SYNTHETIC
H0000079,SME000230,WORKING_CAPITAL_LOAN,2021-03-12,584855.400000,26839.680000,True,CONTROLLED_SYNTHETIC
H0000080,SME000231,WORKING_CAPITAL_LOAN,2025-03-16,38035552.490000,1991997.310000,True,CONTROLLED_SYNTHETIC
H0000081,SME000232,WORKING_CAPITAL_LOAN,2023-04-13,46128759.610000,479058.860000,True,CONTROLLED_SYNTHETIC
H0000082,SME000234,WORKING_CAPITAL_LOAN,2026-01-20,3006503.260000,34715.440000,True,CONTROLLED_SYNTHETIC
H0000083,SME000235,WORKING_CAPITAL_LOAN,2026-01-31,5829698.880000,284951.320000,True,CONTROLLED_SYNTHETIC
H0000084,SME000236,WORKING_CAPITAL_LOAN,2024-07-03,8473998.990000,440035.840000,True,CONTROLLED_SYNTHETIC
H0000085,SME000239,WORKING_CAPITAL_LOAN,2023-01-17,28977103.360000,508661.730000,True,CONTROLLED_SYNTHETIC
H0000086,SME000240,WORKING_CAPITAL_LOAN,2020-10-21,4055203.350000,180870.980000,True,CONTROLLED_SYNTHETIC
H0000087,SME000242,WORKING_CAPITAL_LOAN,2020-05-11,2125288.750000,63403.700000,True,CONTROLLED_SYNTHETIC
H0000088,SME000245,WORKING_CAPITAL_LOAN,2020-10-27,477810.820000,19473.870000,True,CONTROLLED_SYNTHETIC
H0000089,SME000246,WORKING_CAPITAL_LOAN,2020-04-24,2466537.240000,57942.560000,True,CONTROLLED_SYNTHETIC
H0000090,SME000249,WORKING_CAPITAL_LOAN,2020-05-11,9049819.020000,271030.070000,True,CONTROLLED_SYNTHETIC
H0000091,SME000250,WORKING_CAPITAL_LOAN,2026-04-21,9768327.810000,203208.100000,True,CONTROLLED_SYNTHETIC
H0000092,SME000258,WORKING_CAPITAL_LOAN,2025-02-22,8825268.430000,46636.790000,True,CONTROLLED_SYNTHETIC
H0000093,SME000263,WORKING_CAPITAL_LOAN,2023-08-04,1570102.190000,8929.300000,True,CONTROLLED_SYNTHETIC
H0000094,SME000264,WORKING_CAPITAL_LOAN,2020-02-15,1254744.580000,36328.910000,True,CONTROLLED_SYNTHETIC
H0000095,SME000268,WORKING_CAPITAL_LOAN,2024-12-19,330710.240000,2463.190000,True,CONTROLLED_SYNTHETIC
H0000096,SME000277,WORKING_CAPITAL_LOAN,2022-03-19,1203060.580000,12462.880000,True,CONTROLLED_SYNTHETIC
H0000097,SME000285,WORKING_CAPITAL_LOAN,2025-04-20,1370903.880000,24313.300000,True,CONTROLLED_SYNTHETIC
