customer_id,pd_12m,internal_rating,days_past_due,stage,kyc_review_due_date,aml_alert_priority,beneficial_owner_complete,financials_fresh_flag,data_class
SME000001,0.059808,R04,0,1,2026-10-20,NONE,True,True,CONTROLLED_SYNTHETIC
SME000002,0.029229,R03,5,1,2027-09-22,NONE,True,True,CONTROLLED_SYNTHETIC
SME000003,0.027952,R03,0,1,2027-04-28,NONE,True,True,CONTROLLED_SYNTHETIC
SME000004,0.039862,R03,0,1,2026-02-28,NONE,True,True,CONTROLLED_SYNTHETIC
SME000005,0.037736,R03,0,1,2027-09-25,NONE,True,True,CONTROLLED_SYNTHETIC
SME000006,0.012118,R02,0,1,2026-06-09,NONE,True,True,CONTROLLED_SYNTHETIC
SME000007,0.015069,R02,0,1,2027-04-12,NONE,True,True,CONTROLLED_SYNTHETIC
SME000008,0.086007,R05,0,1,2026-04-03,NONE,False,True,CONTROLLED_SYNTHETIC
SME000009,0.061518,R04,0,1,2027-07-27,HIGH,True,True,CONTROLLED_SYNTHETIC
SME000010,0.068423,R05,0,1,2027-06-29,NONE,True,True,CONTROLLED_SYNTHETIC
SME000011,0.039374,R03,60,2,2026-12-30,NONE,True,True,CONTROLLED_SYNTHETIC
SME000012,0.027311,R03,5,1,2027-07-16,NONE,True,True,CONTROLLED_SYNTHETIC
SME000013,0.042401,R03,0,1,2027-06-13,NONE,True,True,CONTROLLED_SYNTHETIC
SME000014,0.008637,R02,0,1,2027-01-23,NONE,True,True,CONTROLLED_SYNTHETIC
SME000015,0.062047,R04,0,1,2026-03-03,NONE,True,True,CONTROLLED_SYNTHETIC
SME000016,0.028462,R03,0,1,2026-01-09,NONE,True,True,CONTROLLED_SYNTHETIC
SME000017,0.024915,R03,0,1,2026-11-20,NONE,True,True,CONTROLLED_SYNTHETIC
SME000018,0.054139,R04,0,1,2027-05-27,NONE,True,True,CONTROLLED_SYNTHETIC
SME000019,0.053792,R04,0,1,2026-06-03,NONE,True,True,CONTROLLED_SYNTHETIC
SME000020,0.035503,R03,30,2,2026-09-01,NONE,True,True,CONTROLLED_SYNTHETIC
SME000021,0.027563,R03,30,2,2026-12-05,NONE,True,True,CONTROLLED_SYNTHETIC
SME000022,0.050438,R04,0,1,2025-12-25,LOW,True,False,CONTROLLED_SYNTHETIC
SME000023,0.032388,R03,0,1,2026-03-24,NONE,True,True,CONTROLLED_SYNTHETIC
SME000024,0.042866,R03,0,1,2027-03-18,NONE,True,False,CONTROLLED_SYNTHETIC
SME000025,0.025334,R03,5,1,2026-01-27,NONE,True,False,CONTROLLED_SYNTHETIC
SME000026,0.050908,R04,15,1,2026-01-14,NONE,True,True,CONTROLLED_SYNTHETIC
SME000027,0.037419,R03,0,1,2027-07-11,NONE,True,False,CONTROLLED_SYNTHETIC
SME000028,0.046380,R04,0,1,2027-03-15,NONE,True,True,CONTROLLED_SYNTHETIC
SME000029,0.033178,R03,0,1,2026-05-05,NONE,True,True,CONTROLLED_SYNTHETIC
SME000030,0.060859,R04,0,1,2027-06-28,NONE,True,True,CONTROLLED_SYNTHETIC
SME000031,0.014146,R02,0,1,2027-08-10,LOW,True,True,CONTROLLED_SYNTHETIC
SME000032,0.024783,R03,0,1,2027-06-03,NONE,True,True,CONTROLLED_SYNTHETIC
SME000033,0.005245,R02,0,1,2026-09-12,NONE,True,True,CONTROLLED_SYNTHETIC
SME000034,0.038199,R03,0,1,2027-03-10,NONE,True,True,CONTROLLED_SYNTHETIC
SME000035,0.035151,R03,0,1,2027-03-06,NONE,False,True,CONTROLLED_SYNTHETIC
SME000036,0.100294,R06,0,1,2026-06-09,NONE,True,True,CONTROLLED_SYNTHETIC
SME000037,0.041960,R03,0,1,2026-07-30,NONE,True,True,CONTROLLED_SYNTHETIC
SME000038,0.023891,R03,0,1,2025-12-15,NONE,True,True,CONTROLLED_SYNTHETIC
SME000039,0.045611,R04,0,1,2027-01-06,NONE,True,True,CONTROLLED_SYNTHETIC
SME000040,0.036574,R03,5,1,2026-06-06,NONE,True,True,CONTROLLED_SYNTHETIC
SME000041,0.038465,R03,0,1,2026-12-19,LOW,True,True,CONTROLLED_SYNTHETIC
SME000042,0.032748,R03,0,1,2025-12-26,NONE,True,True,CONTROLLED_SYNTHETIC
SME000043,0.051136,R04,0,1,2027-05-01,MEDIUM,True,False,CONTROLLED_SYNTHETIC
SME000044,0.037972,R03,0,1,2027-04-27,NONE,True,False,CONTROLLED_SYNTHETIC
SME000045,0.024331,R03,30,2,2026-10-03,NONE,True,True,CONTROLLED_SYNTHETIC
SME000046,0.039890,R03,0,1,2026-02-03,NONE,True,True,CONTROLLED_SYNTHETIC
SME000047,0.022182,R02,0,1,2026-07-19,NONE,True,True,CONTROLLED_SYNTHETIC
SME000048,0.020070,R02,0,1,2027-01-19,NONE,True,True,CONTROLLED_SYNTHETIC
